County,2018,2019
"Adams County, Pennsylvania",103062,103009
"Allegheny County, Pennsylvania",1217281,1216045
"Armstrong County, Pennsylvania",65352,64735
"Beaver County, Pennsylvania",164582,163929
"Bedford County, Pennsylvania",48094,47888
"Berks County, Pennsylvania",420529,421164
"Blair County, Pennsylvania",122503,121829
"Bradford County, Pennsylvania",60794,60323
"Bucks County, Pennsylvania",627812,628270
"Butler County, Pennsylvania",187638,187853
"Cambria County, Pennsylvania",131449,130192
"Cameron County, Pennsylvania",4501,4447
"Carbon County, Pennsylvania",64175,64182
"Centre County, Pennsylvania",162601,162385
"Chester County, Pennsylvania",522086,524989
"Clarion County, Pennsylvania",38672,38438
"Clearfield County, Pennsylvania",79572,79255
"Clinton County, Pennsylvania",38696,38632
"Columbia County, Pennsylvania",65215,64964
"Crawford County, Pennsylvania",85110,84629
"Cumberland County, Pennsylvania",251131,253370
"Dauphin County, Pennsylvania",276864,278299
"Delaware County, Pennsylvania",565231,566747
"Elk County, Pennsylvania",30110,29910
"Erie County, Pennsylvania",271544,269728
"Fayette County, Pennsylvania",130323,129274
"Forest County, Pennsylvania",7284,7247
"Franklin County, Pennsylvania",154579,155027
"Fulton County, Pennsylvania",14525,14530
"Greene County, Pennsylvania",36661,36233
"Huntingdon County, Pennsylvania",45395,45144
"Indiana County, Pennsylvania",84441,84073
"Jefferson County, Pennsylvania",43614,43425
"Juniata County, Pennsylvania",24718,24763
"Lackawanna County, Pennsylvania",210269,209674
"Lancaster County, Pennsylvania",543969,545724
"Lawrence County, Pennsylvania",86128,85512
"Lebanon County, Pennsylvania",141339,141793
"Lehigh County, Pennsylvania",368359,369318
"Luzerne County, Pennsylvania",317859,317417
"Lycoming County, Pennsylvania",113866,113299
"McKean County, Pennsylvania",40950,40625
"Mercer County, Pennsylvania",110471,109424
"Mifflin County, Pennsylvania",46211,46138
"Monroe County, Pennsylvania",169294,170271
"Montgomery County, Pennsylvania",826924,830915
"Montour County, Pennsylvania",18240,18230
"Northampton County, Pennsylvania",304564,305285
"Northumberland County, Pennsylvania",91080,90843
"Perry County, Pennsylvania",46154,46272
"Philadelphia County, Pennsylvania",1583592,1584064
"Pike County, Pennsylvania",55780,55809
"Potter County, Pennsylvania",16623,16526
"Schuylkill County, Pennsylvania",141815,141359
"Snyder County, Pennsylvania",40518,40372
"Somerset County, Pennsylvania",73872,73447
"Sullivan County, Pennsylvania",6076,6066
"Susquehanna County, Pennsylvania",40560,40328
"Tioga County, Pennsylvania",40690,40591
"Union County, Pennsylvania",45017,44923
"Venango County, Pennsylvania",51201,50668
"Warren County, Pennsylvania",39551,39191
"Washington County, Pennsylvania",207018,206865
"Wayne County, Pennsylvania",51395,51361
"Westmoreland County, Pennsylvania",350459,348899
"Wyoming County, Pennsylvania",27087,26794
"York County, Pennsylvania",447847,449058
