Year,Month,Month #,Unemployment Rate
2020,December,M12,7.1
2020,November,M11,7.1
2020,October,M10,7.0
2020,September,M09,7.1
2020,August,M08,10.2
2020,July,M07,13.0
2020,June,M06,13.3
2020,May,M05,13.5
2020,April,M04,16.2
2020,March,M03,5.1
2020,February,M02,5.0
2020,January,M01,4.8
2019,December,M12,4.7
2019,November,M11,4.7
2019,October,M10,4.6
2019,September,M09,4.6
2019,August,M08,4.5
2019,July,M07,4.4
2019,June,M06,4.4
2019,May,M05,4.3
2019,April,M04,4.3
2019,March,M03,4.3
2019,February,M02,4.3
2019,January,M01,4.3
2018,December,M12,4.4
2018,November,M11,4.4
2018,October,M10,4.4
2018,September,M09,4.4
2018,August,M08,4.4
2018,July,M07,4.4
2018,June,M06,4.4
2018,May,M05,4.4
2018,April,M04,4.5
2018,March,M03,4.6
2018,February,M02,4.7
2018,January,M01,4.8
