Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Venango,04/26/2021,6,9.4,3740,50668,11.8,18.6,7381.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,07/14/2021,1,1.4,14855,141359,0.7,1,10508.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Dauphin,05/13/2021,54,48.9,25553,278299,19.4,17.6,9181.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,05/29/2021,9,14.7,25938,278299,3.2,5.3,9320.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,04/01/2021,92,68.9,22551,278299,33.1,24.7,8103.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,06/15/2021,1,1.3,4090,50668,2,2.5,8072.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,07/11/2021,1,1.6,14850,141359,0.7,1.1,10505.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,02/05/2021,20,13.7,3231,50668,39.5,27.1,6376.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,04/17/2021,5,7,3667,50668,9.9,13.8,7237.3,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,04/30/2021,16,11.9,3648,46272,34.6,25.6,7883.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,05/19/2021,10,10.6,4003,50668,19.7,20.9,7900.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,04/25/2021,4,9.6,3734,50668,7.9,18.9,7369.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,07/19/2020,0,0.4,102,46272,0,0.9,220.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,06/06/2020,0,1.3,70,46272,0,2.8,151.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Monroe,04/15/2021,133,87.9,12878,170271,78.1,51.6,7563.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Fayette,07/23/2021,4,2.3,13483,129274,3.1,1.8,10429.8,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Venango,10/01/2020,0,2,107,50668,0,3.9,211.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,07/06/2021,1,1.6,14842,141359,0.7,1.1,10499.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Monroe,04/06/2021,54,83.6,12038,170271,31.7,49.1,7069.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Perry,11/03/2020,12,4.7,403,46272,25.9,10.2,870.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Franklin,07/02/2021,3,2.9,15478,155027,1.9,1.8,9984.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Dauphin,05/03/2021,87,72.7,25019,278299,31.3,26.1,8990,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Bedford,04/18/2021,8,16.1,4173,47888,16.7,33.7,8714.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,03/28/2021,50,68.6,11246,170271,29.4,40.3,6604.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Bedford,03/08/2021,8,5.1,3852,47888,16.7,10.7,8043.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Bedford,02/17/2021,4,5.4,3762,47888,8.4,11.3,7855.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Mifflin,03/25/2021,19,8.7,4783,46138,41.2,18.9,10366.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Venango,05/05/2021,17,12,3841,50668,33.6,23.7,7580.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,06/03/2021,4,2.4,4075,50668,7.9,4.8,8042.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,06/24/2021,0,0.9,4099,50668,0,1.7,8089.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Mifflin,03/02/2021,9,7.7,4630,46138,19.5,16.7,10035.1,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Perry,11/24/2020,8,13.7,621,46272,17.3,29.6,1342.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,05/21/2020,0,0.7,42,46272,0,1.5,90.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,07/24/2021,6,11,26282,278299,2.2,4,9443.8,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Pennsylvania,04/06/2021,4527,4240,1055852,12801989,35.4,33.1,8247.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
York,07/23/2021,24,17.7,47311,449058,5.3,3.9,10535.6,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Adams,10/23/2020,7,12.3,1094,103009,6.8,11.9,1062,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Allegheny,05/19/2021,147,128.3,100559,1216045,12.1,10.5,8269.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Chester,12/11/2020,359,277.7,15645,524989,68.4,52.9,2980.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Susquehanna,05/04/2021,10,11.4,2485,40328,24.8,28.3,6162,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Carbon,11/11/2020,37,21.4,825,64182,57.6,33.4,1285.4,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Venango,10/07/2020,7,2.3,123,50668,13.8,4.5,242.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Dauphin,05/25/2021,14,23,25886,278299,5,8.3,9301.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Monroe,03/17/2021,59,55.1,10554,170271,34.7,32.4,6198.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Schuylkill,07/12/2021,3,1.7,14853,141359,2.1,1.2,10507.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,07/15/2020,0,2.4,52,50668,0,4.8,102.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Bradford,07/23/2020,1,1.9,88,60323,1.7,3.1,145.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Dauphin,04/17/2021,43,92,23842,278299,15.5,33.1,8567,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Perry,07/24/2021,0,0.6,3864,46272,0,1.2,8350.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,07/16/2021,7,5.9,26200,278299,2.5,2.1,9414.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Bedford,01/05/2021,31,23.1,3097,47888,64.7,48.3,6467.2,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Dauphin,07/21/2021,10,9,26249,278299,3.6,3.2,9431.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Perry,01/10/2021,42,34.6,2044,46272,90.8,74.7,4417.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Schuylkill,07/07/2021,3,1.6,14845,141359,2.1,1.1,10501.6,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Monroe,03/27/2021,51,64.9,11196,170271,30,38.1,6575.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Schuylkill,04/10/2021,45,43.1,13356,141359,31.8,30.5,9448.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Monroe,03/12/2021,50,45,10272,170271,29.4,26.4,6032.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Perry,05/23/2020,4,1.1,48,46272,8.6,2.5,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,12/26/2020,38,44.6,2320,50668,75,88,4578.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Mifflin,02/01/2021,9,19.4,4347,46138,19.5,42.1,9421.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Dauphin,05/30/2021,8,13,25946,278299,2.9,4.7,9323.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Schuylkill,05/17/2021,17,18.1,14601,141359,12,12.8,10329,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,06/11/2020,1,0.6,73,46272,2.2,1.2,157.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Monroe,04/13/2021,81,93.3,12691,170271,47.6,54.8,7453.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Perry,02/21/2021,3,8.4,2834,46272,6.5,18.2,6124.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,05/17/2021,70,43.4,25691,278299,25.2,15.6,9231.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Schuylkill,07/09/2021,1,1,14846,141359,0.7,0.7,10502.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bedford,03/05/2021,7,5,3839,47888,14.6,10.4,8016.6,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,05/09/2021,21,39.9,14319,170271,12.3,23.4,8409.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Dauphin,07/08/2021,1,3,26151,278299,0.4,1.1,9396.7,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,02/23/2021,7,7.7,3376,50668,13.8,15.2,6663,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Dauphin,07/19/2021,15,8.4,26228,278299,5.4,3,9424.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
