COUNTY ID,COUNTY NAME
1,ADAMS
2,ALLEGHENY
3,ARMSTRONG
4,BEAVER
5,BEDFORD
6,BERKS
7,BLAIR
8,BRADFORD
9,BUCKS
10,BUTLER
11,CAMBRIA
12,CAMERON
13,CARBON
14,CENTRE
15,CHESTER
16,CLARION
17,CLEARFIELD
18,CLINTON
19,COLUMBIA
20,CRAWFORD
21,CUMBERLAND
22,DAUPHIN
23,DELAWARE
24,ELK
25,ERIE
26,FAYETTE
27,FOREST
28,FRANKLIN
29,FULTON
30,GREENE
31,HUNTINGDON
32,INDIANA
33,JEFFERSON
34,JUNIATA
35,LACKAWANNA
36,LANCASTER
37,LAWRENCE
38,LEBANON
39,LEHIGH
40,LUZERNE
41,LYCOMING
42,MCKEAN
43,MERCER
44,MIFFLIN
45,MONROE
46,MONTGOMERY
47,MONTOUR
48,NORTHAMPTON
49,NORTHUMBERLAND
50,PERRY
51,PIKE
52,POTTER
53,SCHUYLKILL
54,SNYDER
55,SOMERSET
56,SULLIVAN
57,SUSQUEHANNA
58,TIOGA
59,UNION
60,VENANGO
61,WARREN
62,WASHINGTON
63,WAYNE
64,WESTMORELAND
65,WYOMING
66,YORK
67,PHILADELPHIA
