COUNTY,BEVERAGE WINE,BOX WINE,BRANDY OR COGNAC,GIN,LIQUEUR OR CORDIALS,RED TABLE WINE,ROSÉ OR BLUSH,RUM,SPARKLING,TEQUILA,VODKA,WHISKEY,WHITE TABLE WINE
Adams,60373.00,331120.00,113892.00,159381.00,456249.00,841628.00,104979.00,477814.00,195034.00,210038.00,935002.00,1378942.00,710197.00
Allegheny,3504210.00,15098799.00,11440578.00,6478792.00,14117516.00,54046580.00,4662975.00,15975054.00,11307151.00,10383749.00,47810714.00,55942727.00,36677600.00
Armstrong,127988.00,215865.00,64611.00,68394.00,349225.00,372097.00,92457.00,470126.00,79373.00,87826.00,699190.00,1198740.00,293897.00
Beaver,364533.00,1125651.00,765218.00,375390.00,1277394.00,2278560.00,397172.00,1812413.00,432593.00,763738.00,4028181.00,5490402.00,1550906.00
Bedford,83402.00,180740.00,80720.00,67598.00,344233.00,513502.00,68645.00,370140.00,131901.00,76821.00,521110.00,1010183.00,345124.00
Berks,965037.00,3351844.00,2499640.00,1211008.00,3861230.00,7309902.00,1140611.00,4937837.00,1648976.00,2195163.00,9897375.00,11431202.00,5847285.00
Blair,341399.00,784195.00,325290.00,283345.00,1458554.00,1880088.00,347513.00,1568341.00,358382.00,421301.00,2475602.00,3731834.00,1247999.00
Bradford,113738.00,386868.00,121752.00,122694.00,501039.00,500458.00,88622.00,587217.00,69991.00,128238.00,804197.00,1326951.00,449994.00
Bucks,1437012.00,7731771.00,2903165.00,2924579.00,6824954.00,30592520.00,2697501.00,6137131.00,6113667.00,4575334.00,24042988.00,23545263.00,23792221.00
Butler,473342.00,2153271.00,501279.00,708699.00,2198143.00,6588852.00,625368.00,2733234.00,1107747.00,1053706.00,6029986.00,8129116.00,4276045.00
Cambria,453775.00,811498.00,458049.00,253716.00,1285691.00,1496916.00,334240.00,1575684.00,351838.00,335420.00,2647088.00,3836928.00,1130246.00
Cameron,10125.00,14407.00,10869.00,8204.00,55633.00,42415.00,6474.00,63773.00,6366.00,7323.00,56983.00,129379.00,18417.00
Carbon,90924.00,321167.00,153517.00,98313.00,464157.00,521624.00,108132.00,422283.00,114412.00,114621.00,1038759.00,1089507.00,463129.00
Centre,197229.00,1452580.00,508960.00,758057.00,1751222.00,4831118.00,381261.00,2058068.00,1133866.00,1040056.00,5095140.00,5506207.00,3403987.00
Chester,673702.00,6054970.00,1960568.00,2482375.00,4051829.00,26027048.00,1647199.00,4324009.00,5373206.00,3259542.00,16582645.00,17270290.00,20879452.00
Clarion,100908.00,187303.00,84682.00,65545.00,404764.00,361275.00,65229.00,502372.00,71535.00,97397.00,612224.00,1061408.00,248926.00
Clearfield,198044.00,400259.00,244809.00,131074.00,786116.00,834272.00,160105.00,870417.00,170487.00,145044.00,1234168.00,2015012.00,569489.00
Clinton,61256.00,133704.00,72966.00,55114.00,325369.00,221582.00,43396.00,406873.00,53369.00,65357.00,514816.00,782881.00,196674.00
Columbia,172073.00,430362.00,220055.00,170865.00,663022.00,1049138.00,161803.00,980056.00,221693.00,226107.00,1574372.00,1925352.00,887444.00
Crawford,198429.00,493513.00,237618.00,200098.00,698918.00,1092298.00,169771.00,954555.00,187705.00,223506.00,1550040.00,2449635.00,759438.00
Cumberland,574094.00,2739853.00,1034176.00,1021631.00,2822944.00,8005361.00,806890.00,3364040.00,1623787.00,1148309.00,7702252.00,9734335.00,6142054.00
Dauphin,741011.00,2543370.00,3293354.00,1186677.00,2984544.00,6848297.00,817043.00,3602227.00,1451294.00,1488355.00,8595950.00,9511284.00,5317284.00
Delaware,996320.00,3866424.00,4706689.00,1770011.00,3404655.00,15555638.00,1500281.00,3900377.00,3358311.00,2663384.00,14173531.00,12699244.00,12617537.00
Elk,76508.00,131577.00,58495.00,45968.00,323649.00,244338.00,51816.00,365094.00,60485.00,55040.00,377016.00,768672.00,159925.00
Erie,736019.00,2478884.00,2457204.00,1009592.00,3249764.00,5479443.00,869096.00,4387997.00,1234445.00,1722659.00,8912557.00,10865360.00,4174589.00
Fayette,365445.00,483582.00,470897.00,191214.00,864328.00,1272746.00,217259.00,1022259.00,342137.00,417987.00,2196750.00,3331831.00,991536.00
Forest,18515.00,46384.00,13993.00,15554.00,76743.00,65795.00,10844.00,103386.00,13009.00,15236.00,140846.00,323882.00,37969.00
Franklin,229802.00,764394.00,503904.00,241991.00,1050945.00,1664509.00,257903.00,1314459.00,283824.00,400672.00,2092376.00,3124558.00,1403477.00
