COUNTY,BEVERAGE WINE,BOX WINE,BRANDY/COGNAC,GIN,LIQUEUR/CORDIALS,RED TABLE WINE,ROSÉ/BLUSH,RUM,SPARKLING,TEQUILA,VODKA,WHISKEY,WHITE TABLE WINE
Adams,50585.00,324495.00,125081.00,158413.00,449622.00,859545.00,127054.00,466968.00,194660.00,207300.00,919860.00,1515892.00,687644.00
Allegheny,3184432.00,15126120.00,12354680.00,6597838.00,14338351.00,54388890.00,6664925.00,15709502.00,12304472.00,12157989.00,49059595.00,59878591.00,35796832.00
Armstrong,104529.00,210870.00,62424.00,66134.00,341055.00,341387.00,86041.00,451840.00,91407.00,97386.00,702402.00,1274628.00,269901.00
Beaver,322288.00,1148122.00,845476.00,401117.00,1314193.00,2290987.00,396797.00,1815214.00,495756.00,921748.00,4343087.00,6125030.00,1509732.00
Bedford,75229.00,182660.00,78802.00,64309.00,336247.00,472126.00,79809.00,365338.00,127480.00,77243.00,536286.00,1054076.00,328011.00
Berks,821803.00,3242551.00,2887632.00,1240587.00,3839596.00,7016811.00,1232439.00,4910415.00,1699378.00,2421353.00,10204764.00,12342819.00,5524389.00
Blair,291511.00,778978.00,356751.00,268347.00,1415438.00,1733183.00,330810.00,1548856.00,377533.00,451441.00,2575771.00,3817494.00,1150745.00
Bradford,98597.00,391765.00,129090.00,116150.00,506612.00,473721.00,84238.00,579721.00,73815.00,130244.00,841456.00,1454210.00,419440.00
Bucks,1279705.00,7607310.00,3112518.00,3066254.00,6838382.00,30412725.00,3618630.00,6027378.00,6338843.00,4996260.00,24621132.00,25623115.00,22864200.00
Butler,408201.00,2089983.00,446622.00,704855.00,2226301.00,6668088.00,758434.00,2663802.00,1202157.00,1210522.00,6311915.00,8736193.00,4109333.00
Cambria,405897.00,831694.00,497145.00,250670.00,1270311.00,1455887.00,328092.00,1597090.00,372105.00,360062.00,2697688.00,4098586.00,1084444.00
Cameron,9526.00,11827.00,9331.00,9973.00,55118.00,39287.00,5763.00,59519.00,7731.00,8348.00,66070.00,151820.00,20267.00
Carbon,86326.00,332642.00,160824.00,111587.00,493806.00,528437.00,109488.00,450543.00,122382.00,130577.00,1146180.00,1251923.00,485262.00
Centre,182538.00,1431962.00,546171.00,764522.00,1728544.00,4792544.00,546263.00,1934126.00,1176099.00,1083932.00,4884703.00,5672906.00,3321716.00
