County,AUN,LEA,School Code,School,Oct 1 Enrollment Grades 7-12,Male Dropouts,Female Dropouts,Dropouts,Dropout Rate
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,597,2,3,5,0.84%
Adams,112011103,Bermudian Springs SD,6921,Bermudian Springs MS,323,0,0,0,0.00%
Adams,112011603,Conewago Valley SD,9999,Conewago Valley SD,12,1,0,1,8.33%
Adams,112011603,Conewago Valley SD,6898,New Oxford MS,634,0,0,0,0.00%
Adams,112011603,Conewago Valley SD,0017,New Oxford SHS,"1,227",13,10,23,1.87%
Adams,112013054,Fairfield Area SD,6269,Fairfield Area HS,324,3,0,3,0.93%
Adams,112013054,Fairfield Area SD,7322,Fairfield Area MS,142,0,0,0,0.00%
Adams,112013054,Fairfield Area SD,9999,Fairfield Area SD,3,0,0,0,0.00%
Adams,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,"1,141",5,3,8,0.70%
Adams,112013753,Gettysburg Area SD,0010,Gettysburg Area MS,524,0,0,0,0.00%
Adams,112013753,Gettysburg Area SD,9999,Gettysburg Area SD,3,0,0,0,0.00%
Adams,112015203,Littlestown Area SD,9999,Littlestown Area SD,9,0,0,0,0.00%
Adams,112015203,Littlestown Area SD,0014,Littlestown SHS,594,1,3,4,0.67%
Adams,112015203,Littlestown Area SD,0013,Maple Avenue MS,310,0,1,1,0.32%
Adams,112018523,Upper Adams SD,0018,Arendtsville El Sch,4,0,0,0,0.00%
Adams,112018523,Upper Adams SD,0021,Biglerville HS,521,6,1,7,1.34%
Adams,112018523,Upper Adams SD,7437,Upper Adams MS,293,0,0,0,0.00%
Adams,112018523,Upper Adams SD,9999,Upper Adams SD,5,0,0,0,0.00%
Allegheny,103020603,Allegheny Valley SD,9999,Allegheny Valley SD,14,0,0,0,0.00%
Allegheny,103020603,Allegheny Valley SD,0029,Springdale JSHS,397,0,1,1,0.25%
Allegheny,103020753,Avonworth SD,5199,Avonworth HS,493,1,2,3,0.61%
Allegheny,103020753,Avonworth SD,7669,Avonworth MS,298,0,0,0,0.00%
Allegheny,103020753,Avonworth SD,9999,Avonworth SD,6,0,0,0,0.00%
Allegheny,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,"1,504",4,2,6,0.40%
Allegheny,103021102,Baldwin-Whitehall SD,9999,Baldwin-Whitehall SD,17,0,0,0,0.00%
Allegheny,103021102,Baldwin-Whitehall SD,6787,Harrison MS,633,0,0,0,0.00%
Allegheny,103021252,Bethel Park SD,0062,Bethel Park HS,"1,381",4,4,8,0.58%
Allegheny,103021252,Bethel Park SD,0061,Independence MS,632,0,0,0,0.00%
Allegheny,103021453,Brentwood Borough SD,9999,Brentwood Borough SD,3,0,0,0,0.00%
Allegheny,103021453,Brentwood Borough SD,7342,Brentwood MS,187,0,0,0,0.00%
Allegheny,103021453,Brentwood Borough SD,0070,Brentwood SHS,383,1,0,1,0.26%
Allegheny,103021603,Carlynton SD,0079,Carlynton JSHS,596,3,2,5,0.84%
Allegheny,103021603,Carlynton SD,9999,Carlynton SD,9,0,0,0,0.00%
Allegheny,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,998,0,1,1,0.10%
Allegheny,103021752,Chartiers Valley SD,0094,Chartiers Valley MS,463,0,0,0,0.00%
Allegheny,103021752,Chartiers Valley SD,9999,Chartiers Valley SD,8,0,0,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,552,2,1,3,0.54%
Allegheny,103021903,Clairton City SD,9999,Clairton City SD,1,0,0,0,0.00%
Allegheny,103021903,Clairton City SD,8094,Clairton MS/HS,310,1,0,1,0.32%
Allegheny,103022103,Cornell SD,8087,Cornell HS,268,4,2,6,2.24%
Allegheny,103022103,Cornell SD,9999,Cornell SD,4,1,0,1,25.00%
Allegheny,103022253,Deer Lakes SD,0513,Deer Lakes HS,567,2,1,3,0.53%
Allegheny,103022253,Deer Lakes SD,7595,Deer Lakes MS,293,0,0,0,0.00%
Allegheny,103022253,Deer Lakes SD,9999,Deer Lakes SD,33,0,0,0,0.00%
Allegheny,103022803,East Allegheny SD,8340,East Allegheny JSHS,749,3,1,4,0.53%
Allegheny,103022803,East Allegheny SD,9999,East Allegheny SD,14,0,0,0,0.00%
Allegheny,103023153,Elizabeth Forward SD,4804,Elizabeth Forward MS,376,0,0,0,0.00%
Allegheny,103023153,Elizabeth Forward SD,9999,Elizabeth Forward SD,3,0,0,0,0.00%
Allegheny,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,686,1,1,2,0.29%
Allegheny,199025446,Environmental CS at Frick Park,8028,Environmental Charter School at Frick Pa,190,0,0,0,0.00%
