,County,Date,Monthly Cases,Longitude,Latitude
0,Adams,2020-03,13.0,-79.76286561,41.40341259
1,Adams,2020-04,130.0,-76.22332385,40.70751243
2,Adams,2020-05,113.0,-76.77960568,40.41974636
3,Adams,2020-06,93.0,-76.77960568,40.41974636
4,Adams,2020-07,132.0,-76.77960568,40.41974636
5,Adams,2020-08,183.0,-79.76286561,41.40341259
6,Adams,2020-09,211.0,-76.22332385,40.70751243
7,Adams,2020-10,334.0,-79.76286561,41.40341259
8,Adams,2020-11,866.0,-79.76286561,41.40341259
9,Adams,2020-12,2634.0,-77.25907385,40.40415317
10,Adams,2021-01,1937.0,-79.76286561,41.40341259
11,Adams,2021-02,705.0,-79.76286561,41.40341259
12,Adams,2021-03,821.0,-77.25907385,40.40415317
13,Adams,2021-04,985.0,-77.25907385,40.40415317
14,Adams,2021-05,418.0,-75.34083603,41.06091787
15,Adams,2021-06,108.0,-79.65189635,39.91944779999999
16,Adams,2021-07,138.0,-79.76286561,41.40341259
17,Allegheny,2020-03,361.0,-76.22332385,40.70751243
18,Allegheny,2020-04,972.0,-75.34083603,41.06091787
19,Allegheny,2020-05,596.0,-77.25907385,40.40415317
20,Allegheny,2020-06,968.0,-77.72398845,39.92786197
21,Allegheny,2020-07,5308.0,-76.77960568,40.41974636
22,Allegheny,2020-08,2178.0,-78.49116474,40.00737536
23,Allegheny,2020-09,2080.0,-75.34083603,41.06091787
24,Allegheny,2020-10,3445.0,-78.49116474,40.00737536
25,Allegheny,2020-11,13188.0,-78.49116474,40.00737536
26,Allegheny,2020-12,25455.0,-77.62003089,40.61274928
27,Allegheny,2021-01,14906.0,-79.76286561,41.40341259
28,Allegheny,2021-02,7266.0,-79.76286561,41.40341259
29,Allegheny,2021-03,9198.0,-79.76286561,41.40341259
30,Allegheny,2021-04,11530.0,-77.62003089,40.61274928
31,Allegheny,2021-05,3865.0,-77.25907385,40.40415317
32,Allegheny,2021-06,591.0,-77.25907385,40.40415317
33,Allegheny,2021-07,1026.0,-76.77960568,40.41974636
34,Armstrong,2020-03,5.0,-75.16775600000001,39.346129
35,Armstrong,2020-04,47.0,-76.72576052,39.92192531
36,Armstrong,2020-05,11.0,-77.22224271,39.87209565
37,Armstrong,2020-06,15.0,-79.98619843,40.46735543
38,Armstrong,2020-07,110.0,-75.75626498,39.97487056
39,Armstrong,2020-08,135.0,-75.80250303,41.8205686
40,Armstrong,2020-09,139.0,-75.71107039,40.91936701
41,Armstrong,2020-10,338.0,-79.76286561,41.40341259
42,Armstrong,2020-11,1108.0,-76.77960568,40.41974636
43,Armstrong,2020-12,1663.0,-75.34083603,41.06091787
44,Armstrong,2021-01,1084.0,-76.22332385,40.70751243
45,Armstrong,2021-02,251.0,-79.76286561,41.40341259
46,Armstrong,2021-03,294.0,-76.51825624,41.79117814
47,Armstrong,2021-04,552.0,-76.77960568,40.41974636
48,Armstrong,2021-05,231.0,-77.25907385,40.40415317
49,Armstrong,2021-06,31.0,-76.77960568,40.41974636
50,Armstrong,2021-07,33.0,-78.49116474,40.00737536
51,Beaver,2020-03,60.0,-76.77960568,40.41974636
52,Beaver,2020-04,370.0,-77.25907385,40.40415317
53,Beaver,2020-05,161.0,-76.22332385,40.70751243
54,Beaver,2020-06,92.0,-75.34083603,41.06091787
55,Beaver,2020-07,546.0,-76.22332385,40.70751243
56,Beaver,2020-08,399.0,-75.34083603,41.06091787
57,Beaver,2020-09,318.0,-77.25907385,40.40415317
58,Beaver,2020-10,400.0,-79.76286561,41.40341259
59,Beaver,2020-11,1778.0,-77.62003089,40.61274928
60,Beaver,2020-12,4393.0,-76.77960568,40.41974636
61,Beaver,2021-01,2495.0,-76.22332385,40.70751243
62,Beaver,2021-02,1239.0,-77.25907385,40.40415317
63,Beaver,2021-03,986.0,-75.34083603,41.06091787
64,Beaver,2021-04,1504.0,-77.25907385,40.40415317
65,Beaver,2021-05,681.0,-76.77960568,40.41974636
66,Beaver,2021-06,130.0,-76.22332385,40.70751243
67,Beaver,2021-07,163.0,-78.49116474,40.00737536
68,Bedford,2020-03,3.0,-75.34083603,41.06091787
69,Bedford,2020-04,21.0,-76.77960568,40.41974636
70,Bedford,2020-05,19.0,-79.76286561,41.40341259
71,Bedford,2020-06,46.0,-76.77960568,40.41974636
72,Bedford,2020-07,42.0,-79.76286561,41.40341259
73,Bedford,2020-08,43.0,-79.76286561,41.40341259
74,Bedford,2020-09,82.0,-79.76286561,41.40341259
75,Bedford,2020-10,208.0,-77.25907385,40.40415317
76,Bedford,2020-11,1144.0,-76.77960568,40.41974636
77,Bedford,2020-12,1369.0,-78.47558343,41.000429
78,Bedford,2021-01,667.0,-75.71107039,40.91936701
79,Bedford,2021-02,165.0,-76.22332385,40.70751243
80,Bedford,2021-03,151.0,-77.62003089,40.61274928
81,Bedford,2021-04,398.0,-77.62003089,40.61274928
82,Bedford,2021-05,286.0,-76.22332385,40.70751243
83,Bedford,2021-06,83.0,-77.25907385,40.40415317
84,Bedford,2021-07,25.0,-77.25907385,40.40415317
85,Berks,2020-03,156.0,-79.76286561,41.40341259
86,Berks,2020-04,2606.0,-79.76286561,41.40341259
87,Berks,2020-05,1309.0,-79.76286561,41.40341259
88,Berks,2020-06,481.0,-77.25907385,40.40415317
89,Berks,2020-07,618.0,-79.76286561,41.40341259
90,Berks,2020-08,927.0,-77.62003089,40.61274928
91,Berks,2020-09,1120.0,-76.22332385,40.70751243
92,Berks,2020-10,2442.0,-76.22332385,40.70751243
93,Berks,2020-11,4388.0,-77.6428376,41.23286274
94,Berks,2020-12,9705.0,-79.76286561,41.40341259
95,Berks,2021-01,8919.0,-77.98276609999999,40.416105
96,Berks,2021-02,2977.0,-79.76286561,41.40341259
97,Berks,2021-03,4365.0,-76.77960568,40.41974636
98,Berks,2021-04,5704.0,-79.76286561,41.40341259
99,Berks,2021-05,2265.0,-77.62003089,40.61274928
100,Berks,2021-06,474.0,-79.76286561,41.40341259
101,Berks,2021-07,338.0,-78.11485045,39.92487511
102,Blair,2020-03,4.0,-77.25907385,40.40415317
103,Blair,2020-04,19.0,-77.25907385,40.40415317
104,Blair,2020-05,31.0,-77.25907385,40.40415317
105,Blair,2020-06,27.0,-76.22332385,40.70751243
106,Blair,2020-07,138.0,-77.25907385,40.40415317
107,Blair,2020-08,252.0,-75.34083603,41.06091787
108,Blair,2020-09,279.0,-79.23780995,41.51357876
109,Blair,2020-10,738.0,-76.5147922,41.448099400000004
110,Blair,2020-11,2980.0,-78.49116474,40.00737536
111,Blair,2020-12,3579.0,-79.76286561,41.40341259
112,Blair,2021-01,2021.0,-76.22332385,40.70751243
113,Blair,2021-02,643.0,-79.76286561,41.40341259
114,Blair,2021-03,544.0,-78.49116474,40.00737536
115,Blair,2021-04,1361.0,-77.25907385,40.40415317
116,Blair,2021-05,832.0,-77.25907385,40.40415317
117,Blair,2021-06,72.0,-77.25788076,41.77333834
118,Blair,2021-07,45.0,-79.76286561,41.40341259
119,Bradford,2020-03,8.0,-79.76286561,41.40341259
120,Bradford,2020-04,27.0,-77.07255968,40.77113737
121,Bradford,2020-05,16.0,-76.22332385,40.70751243
122,Bradford,2020-06,18.0,-78.47558343,41.000429
123,Bradford,2020-07,32.0,-79.76286561,41.40341259
124,Bradford,2020-08,21.0,-79.76286561,41.40341259
125,Bradford,2020-09,93.0,-79.76286561,41.40341259
126,Bradford,2020-10,733.0,-77.25907385,40.40415317
127,Bradford,2020-11,1112.0,-79.23780995,41.51357876
128,Bradford,2020-12,1149.0,-79.76286561,41.40341259
129,Bradford,2021-01,860.0,-75.34083603,41.06091787
130,Bradford,2021-02,361.0,-76.22332385,40.70751243
131,Bradford,2021-03,420.0,-76.22332385,40.70751243
132,Bradford,2021-04,826.0,-79.76286561,41.40341259
133,Bradford,2021-05,382.0,-79.76286561,41.40341259
134,Bradford,2021-06,72.0,-79.76286561,41.40341259
135,Bradford,2021-07,30.0,-77.405775,40.53433008
136,Bucks,2020-03,324.0,-77.25907385,40.40415317
137,Bucks,2020-04,2782.0,-78.71894174,40.49127491
138,Bucks,2020-05,2009.0,-76.22332385,40.70751243
139,Bucks,2020-06,664.0,-77.25907385,40.40415317
140,Bucks,2020-07,1156.0,-78.49116474,40.00737536
141,Bucks,2020-08,846.0,-77.98276609999999,40.416105
142,Bucks,2020-09,1083.0,-77.6428376,41.23286274
143,Bucks,2020-10,1551.0,-79.98619843,40.46735543
144,Bucks,2020-11,7418.0,-75.80250303,41.8205686
145,Bucks,2020-12,12947.0,-77.25907385,40.40415317
146,Bucks,2021-01,9338.0,-77.62003089,40.61274928
147,Bucks,2021-02,4773.0,-75.34083603,41.06091787
148,Bucks,2021-03,6128.0,-76.77960568,40.41974636
149,Bucks,2021-04,7391.0,-79.47316899,40.81509526
150,Bucks,2021-05,2093.0,-77.25907385,40.40415317
151,Bucks,2021-06,309.0,-79.27858158,41.81675237
152,Bucks,2021-07,645.0,-77.62003089,40.61274928
153,Butler,2020-03,65.0,-76.77960568,40.41974636
154,Butler,2020-04,118.0,-78.64947713,41.42819416
155,Butler,2020-05,50.0,-76.22332385,40.70751243
156,Butler,2020-06,82.0,-76.77960568,40.41974636
157,Butler,2020-07,295.0,-79.76286561,41.40341259
158,Butler,2020-08,196.0,-79.27858158,41.81675237
159,Butler,2020-09,295.0,-76.22332385,40.70751243
160,Butler,2020-10,821.0,-78.20916932,41.43880265
161,Butler,2020-11,2812.0,-79.00101814,41.13139091
162,Butler,2020-12,4801.0,-79.76286561,41.40341259
163,Butler,2021-01,3312.0,-79.76286561,41.40341259
