Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2019,03,01,"January, 2019",1,163067000,156625000,6442000,4.00,63.1,60.7,20190301,03201901,0,No,0
Pennsylvania,000000,01,42,4201000000,PA,2019,03,01,"January, 2019",1,6472000,6191000,281000,4.30,63.0,60.3,20190301,03201901,1,No,0
Adams County,000001,04,42,4204000001,PA,2019,03,01,"January, 2019",1,55200,53400,1800,3.30,,,20190301,03201901,2,No,0
Allegheny County,000003,04,42,4204000003,PA,2019,03,01,"January, 2019",1,649000,622500,26600,4.10,,,20190301,03201901,3,No,0
Armstrong County,000005,04,42,4204000005,PA,2019,03,01,"January, 2019",1,32000,30500,1500,4.80,,,20190301,03201901,4,No,0
Beaver County,000007,04,42,4204000007,PA,2019,03,01,"January, 2019",1,83900,80200,3800,4.50,,,20190301,03201901,5,No,0
Bedford County,000009,04,42,4204000009,PA,2019,03,01,"January, 2019",1,23600,22500,1100,4.50,,,20190301,03201901,6,No,0
Berks County,000011,04,42,4204000011,PA,2019,03,01,"January, 2019",1,214600,205600,9000,4.20,,,20190301,03201901,7,No,0
Blair County,000013,04,42,4204000013,PA,2019,03,01,"January, 2019",1,59300,56800,2500,4.10,,,20190301,03201901,8,No,0
Bradford County,000015,04,42,4204000015,PA,2019,03,01,"January, 2019",1,29000,27700,1300,4.40,,,20190301,03201901,9,No,0
Bucks County,000017,04,42,4204000017,PA,2019,03,01,"January, 2019",1,344000,330800,13200,3.80,,,20190301,03201901,10,No,0
Butler County,000019,04,42,4204000019,PA,2019,03,01,"January, 2019",1,100000,96100,3800,3.80,,,20190301,03201901,11,No,0
Cambria County,000021,04,42,4204000021,PA,2019,03,01,"January, 2019",1,58000,55000,3000,5.10,,,20190301,03201901,12,No,0
Cameron County,000023,04,42,4204000023,PA,2019,03,01,"January, 2019",1,2100,2000,100,5.20,,,20190301,03201901,13,No,0
Carbon County,000025,04,42,4204000025,PA,2019,03,01,"January, 2019",1,32000,30300,1700,5.30,,,20190301,03201901,14,No,0
Centre County,000027,04,42,4204000027,PA,2019,03,01,"January, 2019",1,80300,77600,2600,3.30,,,20190301,03201901,15,No,0
Chester County,000029,04,42,4204000029,PA,2019,03,01,"January, 2019",1,286400,277200,9200,3.20,,,20190301,03201901,16,No,0
Clarion County,000031,04,42,4204000031,PA,2019,03,01,"January, 2019",1,17200,16400,800,4.80,,,20190301,03201901,17,No,0
Clearfield County,000033,04,42,4204000033,PA,2019,03,01,"January, 2019",1,36000,34100,1800,5.10,,,20190301,03201901,18,No,0
Clinton County,000035,04,42,4204000035,PA,2019,03,01,"January, 2019",1,18500,17400,1000,5.60,,,20190301,03201901,19,No,0
Columbia County,000037,04,42,4204000037,PA,2019,03,01,"January, 2019",1,33400,31900,1600,4.70,,,20190301,03201901,20,No,0
Crawford County,000039,04,42,4204000039,PA,2019,03,01,"January, 2019",1,38700,36900,1800,4.70,,,20190301,03201901,21,No,0
Cumberland County,000041,04,42,4204000041,PA,2019,03,01,"January, 2019",1,132000,127600,4400,3.40,,,20190301,03201901,22,No,0
Dauphin County,000043,04,42,4204000043,PA,2019,03,01,"January, 2019",1,143800,138100,5700,4.00,,,20190301,03201901,23,No,0
Delaware County,000045,04,42,4204000045,PA,2019,03,01,"January, 2019",1,299100,286700,12300,4.10,,,20190301,03201901,24,No,0
Elk County,000047,04,42,4204000047,PA,2019,03,01,"January, 2019",1,15900,15200,600,4.00,,,20190301,03201901,25,No,0
Erie County,000049,04,42,4204000049,PA,2019,03,01,"January, 2019",1,129500,123500,5900,4.60,,,20190301,03201901,26,No,0
Fayette County,000051,04,42,4204000051,PA,2019,03,01,"January, 2019",1,56900,53500,3300,5.90,,,20190301,03201901,27,No,0
Forest County,000053,04,42,4204000053,PA,2019,03,01,"January, 2019",1,1800,1700,100,6.80,,,20190301,03201901,28,No,0
Franklin County,000055,04,42,4204000055,PA,2019,03,01,"January, 2019",1,77500,74600,2800,3.70,,,20190301,03201901,29,No,0
Fulton County,000057,04,42,4204000057,PA,2019,03,01,"January, 2019",1,7800,7500,300,3.90,,,20190301,03201901,30,No,0
Greene County,000059,04,42,4204000059,PA,2019,03,01,"January, 2019",1,16600,15800,800,4.80,,,20190301,03201901,31,No,0
Huntingdon County,000061,04,42,4204000061,PA,2019,03,01,"January, 2019",1,20000,18800,1200,5.90,,,20190301,03201901,32,No,0
Indiana County,000063,04,42,4204000063,PA,2019,03,01,"January, 2019",1,39000,37100,1900,4.90,,,20190301,03201901,33,No,0
Jefferson County,000065,04,42,4204000065,PA,2019,03,01,"January, 2019",1,20600,19700,900,4.50,,,20190301,03201901,34,No,0
Juniata County,000067,04,42,4204000067,PA,2019,03,01,"January, 2019",1,12400,11900,600,4.40,,,20190301,03201901,35,No,0
Lackawanna County,000069,04,42,4204000069,PA,2019,03,01,"January, 2019",1,104900,99700,5200,5.00,,,20190301,03201901,36,No,0
Lancaster County,000071,04,42,4204000071,PA,2019,03,01,"January, 2019",1,284100,274500,9600,3.40,,,20190301,03201901,37,No,0
Lawrence County,000073,04,42,4204000073,PA,2019,03,01,"January, 2019",1,40900,38800,2100,5.10,,,20190301,03201901,38,No,0
Lebanon County,000075,04,42,4204000075,PA,2019,03,01,"January, 2019",1,71800,69000,2800,3.90,,,20190301,03201901,39,No,0
Lehigh County,000077,04,42,4204000077,PA,2019,03,01,"January, 2019",1,193200,184300,8900,4.60,,,20190301,03201901,40,No,0
Luzerne County,000079,04,42,4204000079,PA,2019,03,01,"January, 2019",1,157700,148700,9000,5.70,,,20190301,03201901,41,No,0
Lycoming County,000081,04,42,4204000081,PA,2019,03,01,"January, 2019",1,57200,54400,2800,4.80,,,20190301,03201901,42,No,0
McKean County,000083,04,42,4204000083,PA,2019,03,01,"January, 2019",1,17200,16400,900,5.10,,,20190301,03201901,43,No,0
Mercer County,000085,04,42,4204000085,PA,2019,03,01,"January, 2019",1,49500,47200,2300,4.70,,,20190301,03201901,44,No,0
Mifflin County,000087,04,42,4204000087,PA,2019,03,01,"January, 2019",1,20900,19900,1000,4.60,,,20190301,03201901,45,No,0
