Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,0,0,0,0,US,2018,3,1,"January, 2018",1,160992000,154495000,6496000,4,62.7,60.2,20180301,3201801,0,No,0
Pennsylvania,0,1,42,4201000000,PA,2018,3,1,"January, 2018",1,6400000,6095000,305000,4.8,62.4,59.4,20180301,3201801,1,No,0
Adams County,1,4,42,4204000001,PA,2018,3,1,"January, 2018",1,54900,53000,1900,3.6,,,20180301,3201801,2,No,0
Allegheny County,3,4,42,4204000003,PA,2018,3,1,"January, 2018",1,641700,613000,28600,4.5,,,20180301,3201801,3,No,0
Armstrong County,5,4,42,4204000005,PA,2018,3,1,"January, 2018",1,32000,30200,1800,5.7,,,20180301,3201801,4,No,0
Beaver County,7,4,42,4204000007,PA,2018,3,1,"January, 2018",1,83600,79200,4400,5.3,,,20180301,3201801,5,No,0
Bedford County,9,4,42,4204000009,PA,2018,3,1,"January, 2018",1,23600,22400,1200,4.9,,,20180301,3201801,6,No,0
Berks County,11,4,42,4204000011,PA,2018,3,1,"January, 2018",1,211600,202200,9400,4.5,,,20180301,3201801,7,No,0
Blair County,13,4,42,4204000013,PA,2018,3,1,"January, 2018",1,59500,56900,2600,4.3,,,20180301,3201801,8,No,0
Bradford County,15,4,42,4204000015,PA,2018,3,1,"January, 2018",1,28700,27300,1400,4.9,,,20180301,3201801,9,No,0
Bucks County,17,4,42,4204000017,PA,2018,3,1,"January, 2018",1,338200,324200,14100,4.2,,,20180301,3201801,10,No,0
Butler County,19,4,42,4204000019,PA,2018,3,1,"January, 2018",1,98800,94400,4300,4.4,,,20180301,3201801,11,No,0
Cambria County,21,4,42,4204000021,PA,2018,3,1,"January, 2018",1,58500,55200,3200,5.5,,,20180301,3201801,12,No,0
Cameron County,23,4,42,4204000023,PA,2018,3,1,"January, 2018",1,2100,2000,100,6,,,20180301,3201801,13,No,0
Carbon County,25,4,42,4204000025,PA,2018,3,1,"January, 2018",1,31500,29800,1700,5.4,,,20180301,3201801,14,No,0
Centre County,27,4,42,4204000027,PA,2018,3,1,"January, 2018",1,79400,76600,2800,3.5,,,20180301,3201801,15,No,0
Chester County,29,4,42,4204000029,PA,2018,3,1,"January, 2018",1,279900,270100,9800,3.5,,,20180301,3201801,16,No,0
Clarion County,31,4,42,4204000031,PA,2018,3,1,"January, 2018",1,17400,16500,900,5.2,,,20180301,3201801,17,No,0
Clearfield County,33,4,42,4204000033,PA,2018,3,1,"January, 2018",1,35500,33500,1900,5.5,,,20180301,3201801,18,No,0
Clinton County,35,4,42,4204000035,PA,2018,3,1,"January, 2018",1,18300,17300,1100,6,,,20180301,3201801,19,No,0
Columbia County,37,4,42,4204000037,PA,2018,3,1,"January, 2018",1,33400,31600,1800,5.2,,,20180301,3201801,20,No,0
Crawford County,39,4,42,4204000039,PA,2018,3,1,"January, 2018",1,38800,36700,2100,5.3,,,20180301,3201801,21,No,0
Cumberland County,41,4,42,4204000041,PA,2018,3,1,"January, 2018",1,129500,124600,4800,3.7,,,20180301,3201801,22,No,0
Dauphin County,43,4,42,4204000043,PA,2018,3,1,"January, 2018",1,141600,135400,6300,4.4,,,20180301,3201801,23,No,0
Delaware County,45,4,42,4204000045,PA,2018,3,1,"January, 2018",1,293200,280300,12900,4.4,,,20180301,3201801,24,No,0
Elk County,47,4,42,4204000047,PA,2018,3,1,"January, 2018",1,15900,15200,700,4.3,,,20180301,3201801,25,No,0
Erie County,49,4,42,4204000049,PA,2018,3,1,"January, 2018",1,129400,122500,7000,5.4,,,20180301,3201801,26,No,0
Fayette County,51,4,42,4204000051,PA,2018,3,1,"January, 2018",1,56900,53100,3800,6.6,,,20180301,3201801,27,No,0
Forest County,53,4,42,4204000053,PA,2018,3,1,"January, 2018",1,1800,1700,100,6.7,,,20180301,3201801,28,No,0
Franklin County,55,4,42,4204000055,PA,2018,3,1,"January, 2018",1,76200,73000,3100,4.1,,,20180301,3201801,29,No,0
Fulton County,57,4,42,4204000057,PA,2018,3,1,"January, 2018",1,7700,7300,400,4.6,,,20180301,3201801,30,No,0
Greene County,59,4,42,4204000059,PA,2018,3,1,"January, 2018",1,16600,15700,900,5.5,,,20180301,3201801,31,No,0
Huntingdon County,61,4,42,4204000061,PA,2018,3,1,"January, 2018",1,19500,18400,1100,5.8,,,20180301,3201801,32,No,0
Indiana County,63,4,42,4204000063,PA,2018,3,1,"January, 2018",1,38800,36700,2100,5.5,,,20180301,3201801,33,No,0
Jefferson County,65,4,42,4204000065,PA,2018,3,1,"January, 2018",1,20300,19300,1100,5.2,,,20180301,3201801,34,No,0
Juniata County,67,4,42,4204000067,PA,2018,3,1,"January, 2018",1,12400,11800,600,4.9,,,20180301,3201801,35,No,0
Lackawanna County,69,4,42,4204000069,PA,2018,3,1,"January, 2018",1,105300,100100,5200,5,,,20180301,3201801,36,No,0
Lancaster County,71,4,42,4204000071,PA,2018,3,1,"January, 2018",1,278700,268400,10300,3.7,,,20180301,3201801,37,No,0
Lawrence County,73,4,42,4204000073,PA,2018,3,1,"January, 2018",1,40600,38200,2400,6,,,20180301,3201801,38,No,0
Lebanon County,75,4,42,4204000075,PA,2018,3,1,"January, 2018",1,70600,67700,2900,4.1,,,20180301,3201801,39,No,0
Lehigh County,77,4,42,4204000077,PA,2018,3,1,"January, 2018",1,189200,179900,9300,4.9,,,20180301,3201801,40,No,0
Luzerne County,79,4,42,4204000079,PA,2018,3,1,"January, 2018",1,157500,148500,9000,5.7,,,20180301,3201801,41,No,0
Lycoming County,81,4,42,4204000081,PA,2018,3,1,"January, 2018",1,57700,54600,3100,5.4,,,20180301,3201801,42,No,0
McKean County,83,4,42,4204000083,PA,2018,3,1,"January, 2018",1,17800,16900,1000,5.4,,,20180301,3201801,43,No,0
Mercer County,85,4,42,4204000085,PA,2018,3,1,"January, 2018",1,49700,47100,2700,5.4,,,20180301,3201801,44,No,0
Mifflin County,87,4,42,4204000087,PA,2018,3,1,"January, 2018",1,20600,19600,1000,5.1,,,20180301,3201801,45,No,0
