table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Pennsylvania: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pennsylvania,"12,702,379","12,702,868","12,711,160","12,745,815","12,767,118","12,776,309","12,788,313","12,784,826","12,782,275","12,787,641","12,800,922","12,801,989"
".Adams County, Pennsylvania","101,407","101,428","101,479","101,474","101,254","101,137","101,353","101,808","101,911","102,562","103,062","103,009"
".Allegheny County, Pennsylvania","1,223,348","1,223,303","1,223,957","1,228,297","1,230,911","1,233,700","1,233,027","1,228,827","1,226,426","1,220,141","1,217,281","1,216,045"
".Armstrong County, Pennsylvania","68,941","69,059","68,981","68,613","68,176","67,964","67,579","66,860","66,397","65,991","65,352","64,735"
".Beaver County, Pennsylvania","170,539","170,531","170,630","170,310","170,056","169,726","168,977","168,241","166,758","165,654","164,582","163,929"
".Bedford County, Pennsylvania","49,762","49,776","49,699","49,627","49,592","49,318","49,131","48,748","48,601","48,356","48,094","47,888"
".Berks County, Pennsylvania","411,442","411,570","412,039","413,008","413,518","413,915","414,559","415,138","415,784","417,511","420,529","421,164"
".Blair County, Pennsylvania","127,089","127,117","127,045","126,970","126,544","125,836","125,274","124,596","123,708","123,147","122,503","121,829"
".Bradford County, Pennsylvania","62,622","62,700","62,731","63,109","63,000","62,510","61,947","61,644","61,092","60,963","60,794","60,323"
".Bucks County, Pennsylvania","625,249","625,256","625,385","625,938","625,346","625,012","625,253","625,276","625,861","626,811","627,812","628,270"
".Butler County, Pennsylvania","183,862","183,880","184,115","184,687","184,929","185,103","185,778","185,936","186,240","186,828","187,638","187,853"
".Cambria County, Pennsylvania","143,679","143,695","143,461","142,579","141,536","138,826","137,537","136,028","134,414","132,960","131,449","130,192"
".Cameron County, Pennsylvania","5,085","5,085","5,081","5,013","4,974","4,927","4,831","4,776","4,710","4,619","4,501","4,447"
".Carbon County, Pennsylvania","65,249","65,244","65,248","65,086","64,800","64,538","64,255","63,753","63,499","63,828","64,175","64,182"
".Centre County, Pennsylvania","153,990","154,005","154,230","155,067","155,826","158,231","159,653","160,466","162,034","162,316","162,601","162,385"
".Chester County, Pennsylvania","498,886","499,133","499,925","503,462","506,089","509,105","512,770","515,055","516,767","518,901","522,086","524,989"
".Clarion County, Pennsylvania","39,988","39,988","39,923","39,898","39,461","39,074","38,911","38,876","38,590","38,998","38,672","38,438"
".Clearfield County, Pennsylvania","81,642","81,609","81,545","81,433","81,401","81,428","81,006","80,718","80,196","79,799","79,572","79,255"
".Clinton County, Pennsylvania","39,238","39,253","39,263","39,511","39,734","39,831","39,486","39,400","39,017","38,830","38,696","38,632"
".Columbia County, Pennsylvania","67,295","67,299","67,356","67,082","67,039","67,193","67,119","66,681","66,133","65,581","65,215","64,964"
".Crawford County, Pennsylvania","88,765","88,750","88,614","88,167","87,730","87,508","87,154","86,510","86,306","85,772","85,110","84,629"
".Cumberland County, Pennsylvania","235,406","235,387","235,886","237,107","239,244","241,059","243,280","245,744","247,369","249,024","251,131","253,370"
".Dauphin County, Pennsylvania","268,100","268,126","268,281","269,249","270,005","271,431","272,223","273,085","274,196","275,714","276,864","278,299"
".Delaware County, Pennsylvania","558,979","558,757","558,981","559,275","560,761","561,499","562,696","563,225","563,708","563,858","565,231","566,747"
".Elk County, Pennsylvania","31,946","31,946","31,861","31,799","31,618","31,461","31,187","30,897","30,512","30,271","30,110","29,910"
".Erie County, Pennsylvania","280,566","280,584","280,799","281,327","281,532","280,717","279,423","278,174","276,170","273,558","271,544","269,728"
".Fayette County, Pennsylvania","136,606","136,601","136,441","136,015","135,288","134,601","133,999","133,252","132,350","131,309","130,323","129,274"
".Forest County, Pennsylvania","7,716","7,709","7,706","7,675","7,591","7,544","7,467","7,381","7,334","7,317","7,284","7,247"
".Franklin County, Pennsylvania","149,618","149,631","149,925","150,934","151,482","151,945","152,607","153,048","153,705","154,376","154,579","155,027"
".Fulton County, Pennsylvania","14,845","14,844","14,862","14,739","14,702","14,620","14,535","14,509","14,497","14,469","14,525","14,530"
".Greene County, Pennsylvania","38,686","38,685","38,607","38,363","38,026","37,856","37,755","37,402","37,209","36,846","36,661","36,233"
".Huntingdon County, Pennsylvania","45,913","46,000","45,994","46,006","45,938","45,840","45,736","45,499","45,380","45,429","45,395","45,144"
".Indiana County, Pennsylvania","88,880","88,885","88,862","88,626","88,216","88,140","87,417","86,747","85,155","84,743","84,441","84,073"
".Jefferson County, Pennsylvania","45,200","45,189","45,163","44,921","44,806","44,880","44,572","44,344","44,031","43,818","43,614","43,425"
".Juniata County, Pennsylvania","24,636","24,637","24,626","24,713","24,613","24,480","24,486","24,445","24,559","24,635","24,718","24,763"
".Lackawanna County, Pennsylvania","214,437","214,415","214,501","214,361","214,176","213,725","212,829","211,863","211,004","210,451","210,269","209,674"
".Lancaster County, Pennsylvania","519,445","519,443","520,319","523,957","526,878","530,012","533,289","535,811","538,160","541,332","543,969","545,724"
".Lawrence County, Pennsylvania","91,108","91,157","91,018","90,522","89,883","89,258","88,644","88,122","87,325","86,546","86,128","85,512"
".Lebanon County, Pennsylvania","133,568","133,597","133,664","134,529","135,545","135,804","136,538","137,479","138,480","139,553","141,339","141,793"
".Lehigh County, Pennsylvania","349,497","349,675","350,164","353,436","354,759","355,341","357,636","359,710","362,298","365,577","368,359","369,318"
".Luzerne County, Pennsylvania","320,918","320,906","320,998","321,006","321,147","319,637","319,150","318,059","317,172","317,808","317,859","317,417"
".Lycoming County, Pennsylvania","116,111","116,102","116,225","116,748","117,222","116,598","116,290","115,598","114,876","114,012","113,866","113,299"
".McKean County, Pennsylvania","43,450","43,461","43,345","43,138","43,145","42,808","42,643","42,400","41,670","41,362","40,950","40,625"
".Mercer County, Pennsylvania","116,638","116,663","116,605","116,150","115,637","115,129","114,675","113,624","112,598","111,473","110,471","109,424"
".Mifflin County, Pennsylvania","46,682","46,679","46,641","46,747","46,754","46,629","46,490","46,427","46,316","46,290","46,211","46,138"
".Monroe County, Pennsylvania","169,842","169,841","169,849","169,891","168,628","167,355","167,285","166,481","166,220","167,895","169,294","170,271"
".Montgomery County, Pennsylvania","799,874","799,840","800,874","805,281","808,672","812,586","815,753","817,180","819,791","824,303","826,924","830,915"
".Montour County, Pennsylvania","18,267","18,256","18,301","18,367","18,433","18,399","18,419","18,299","18,257","18,270","18,240","18,230"
".Northampton County, Pennsylvania","297,735","297,712","297,935","298,266","299,022","298,955","299,598","300,090","301,307","302,801","304,564","305,285"
".Northumberland County, Pennsylvania","94,528","94,476","94,293","94,392","94,410","93,877","93,590","92,878","92,283","91,721","91,080","90,843"
".Perry County, Pennsylvania","45,969","45,931","45,921","45,924","45,808","45,649","45,661","45,849","45,945","46,046","46,154","46,272"
".Philadelphia County, Pennsylvania","1,526,006","1,526,012","1,528,283","1,540,466","1,551,824","1,558,313","1,565,460","1,571,065","1,576,051","1,580,601","1,583,592","1,584,064"
".Pike County, Pennsylvania","57,369","57,338","57,359","57,065","56,281","56,061","55,638","55,322","54,955","55,397","55,780","55,809"
".Potter County, Pennsylvania","17,457","17,447","17,454","17,456","17,562","17,453","17,192","17,086","16,954","16,841","16,623","16,526"
".Schuylkill County, Pennsylvania","148,289","148,290","148,288","147,538","147,125","146,668","145,393","144,117","143,497","142,580","141,815","141,359"
".Snyder County, Pennsylvania","39,702","39,721","39,708","39,782","39,882","40,123","40,234","40,509","40,423","40,594","40,518","40,372"
".Somerset County, Pennsylvania","77,742","77,731","77,759","77,274","77,012","76,587","76,146","75,383","74,860","74,242","73,872","73,447"
".Sullivan County, Pennsylvania","6,428","6,429","6,407","6,414","6,404","6,301","6,278","6,267","6,126","6,142","6,076","6,066"
".Susquehanna County, Pennsylvania","43,356","43,327","43,342","43,229","42,925","42,397","42,085","41,775","41,252","40,934","40,560","40,328"
".Tioga County, Pennsylvania","41,981","41,904","41,974","42,242","42,451","42,211","41,899","41,519","41,250","40,671","40,690","40,591"
".Union County, Pennsylvania","44,947","44,963","45,001","45,111","45,162","44,735","44,974","45,519","45,454","44,642","45,017","44,923"
".Venango County, Pennsylvania","54,984","54,988","54,972","54,682","54,188","53,811","53,348","52,954","52,477","51,790","51,201","50,668"
".Warren County, Pennsylvania","41,815","41,811","41,771","41,506","41,261","40,954","40,658","40,334","40,026","39,679","39,551","39,191"
".Washington County, Pennsylvania","207,820","207,849","207,938","208,059","208,296","208,046","207,963","207,718","207,386","207,075","207,018","206,865"
".Wayne County, Pennsylvania","52,822","52,873","52,868","52,750","52,254","52,204","52,064","51,823","51,339","51,192","51,395","51,361"
".Westmoreland County, Pennsylvania","365,169","365,071","365,028","364,436","362,787","360,663","358,866","356,923","354,665","352,006","350,459","348,899"
".Wyoming County, Pennsylvania","28,276","28,283","28,241","28,309","28,381","28,133","28,167","27,812","27,546","27,396","27,087","26,794"
".York County, Pennsylvania","434,972","435,015","435,413","436,701","437,466","438,932","440,475","441,741","443,693","445,484","447,847","449,058"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Pennsylvania: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-42)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
